PlInf_City,PlInf_Pr/St,PlInf_Cntry,PlInf_Nat,PlInf_Hand,PlInf_CorsicaID,PlInf_H-Ref_Name,PlInf_Last_Name,PlInf_First_Name,PlInf_Position,PlInf_Team,Other_Injuries,ContInf_NMC,ContInf_Status,Eqip_Stick,Eqip_Glove,Eqip_Pants,Eqip_Helmet,Eqip_Skates
Ste-Agathe-Des-Monts,QC,CAN,CAN,L,PIERRE-LUC.DUBOIS,Pierre-Luc Dubois,Dubois,Pierre-Luc,LW/C,CBJ,,,RFA,Bauer - Supreme 1S,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
St. Clair,MI,USA,USA,L,TYLER.MOTTE,Tyler Motte,Motte,Tyler,LW/C,"CBJ, VAN",,NTC,RFA,,,,,
Sun Prairie,WI,USA,USA,L,WILL.BUTCHER,Will Butcher,Butcher,Will,D,NJD,,,RFA,CCM - Super Tacks 2.0,Warrior - Alpha QX,CCM,Bauer - Re-Akt,Bauer - Vapor 1X
Helsinki,,FIN,FIN,L,HENRIK.BORGSTROM,Henrik Borgström,Borgstrom,Henrik,C,FLA,,,RFA,Warrior - Covert QR EDGE,Warrior - Dynasty AX1,Warrior,Bauer - 4500,CCM - Super Tacks
Keswick,ON,CAN,CAN,L,JOEL.HANLEY,Joel Hanley,Hanley,Joel,D,ARI,,,UFA,,,,,
Moscow,,RUS,RUS,R,ALEX.OVECHKIN,Alex Ovechkin,Ovechkin,Alex,LW,WSH,,M-NTC,UFA,,,,,
Stockholm,,SWE,SWE,L,JESPER.BRATT,Jesper Bratt,Bratt,Jesper,LW,NJD,Foot,,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt 100,Bauer - Supreme 1S
Maple Ridge,BC,CAN,CAN,L,ANDREW.LADD,Andrew Ladd,Ladd,Andrew,LW,NYI,Upper body,NMC,UFA,Warrior - Covert QR EDGE,Warrior - Covert QR1,Warrior,CCM - Vector V08,TRUE - Pro Custom
Plymouth,MN,USA,USA,R,BLAKE.WHEELER,Blake Wheeler,Wheeler,Blake,RW,WPG,,M-NTC,UFA,Warrior - Covert QR EDGE,Warrior - Covert QR1,Warrior,Warrior - Krown PX3,Bauer - Vapor 1X 2.0
Schwenningen,,DEU,DEU,L,DENNIS.SEIDENBERG,Dennis Seidenberg,Seidenberg,Dennis,D,NYI,,,UFA,Bauer - Nexus 1N,Bauer - Nexus 1000,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Viking,AB,CAN,CAN,L,CARSON.SOUCY,Carson Soucy,Soucy,Carson,D,MIN,,,RFA,CCM - Ribcor Trigger 2 PMT,CCM - HG12,CCM,CCM - Vector V08,Bauer - Supreme 1S
Milwaukee,WI,USA,USA,R,DREW.STAFFORD,Drew Stafford,Stafford,Drew,RW,NJD,Lower body,,UFA,Warrior - Alpha QX,Warrior - Alpha QX,Bauer,CCM - Vector V08,Bauer - Vapor 1X 2.0
Newmarket,ON,CAN,CAN,L,DARREN.ARCHIBALD,Darren Archibald,Archibald,Darren,RW,VAN,,,UFA,Warrior - Alpha QX,Warrior - Covert QR1,Warrior,Warrior - Covert PX2,TRUE - Pro Custom
St. Paul,MN,USA,USA,R,NICK.JENSEN,Nick Jensen,Jensen,Nick,D,DET,,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - HG12,CCM,CCM - Vector V08,CCM - Super Tacks AS1
"Garden River, First Nations",ON,CAN,CAN,L,JORDAN.NOLAN,Jordan Nolan,Nolan,Jordan,LW/C,BUF,,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - HG12,CCM,CCM - Vector V08,Bauer - Vapor 1X
Yaroslavl,,RUS,RUS,L,VLADIMIR.TARASENKO,Vladimir Tarasenko,Tarasenko,Vladimir,RW,STL,Upper body,,UFA,CCM - Ribcor Reckoner,CCM - 4-Roll Pro,CCM,CCM - Fitlite 80,Reebok - Ribcor
Ottawa,ON,CAN,CAN,R,BEN.SEXTON,Ben Sexton,Sexton,Ben,C,OTT,,,UFA,,,,,
Winnipeg,MB,CAN,CAN,R,TRAVIS.ZAJAC,Travis Zajac,Zajac,Travis,C,NJD,Undisclosed,NTC,UFA,Warrior - Alpha QX,Bauer - Vapor 1X,Warrior,Bauer - 4500,Bauer - Vapor 1X 2.0
Ham Lake,MN,USA,USA,L,JONNY.BRODZINSKI,Jonny Brodzinski,Brodzinski,Jonny,C,LAK,,,RFA,CCM - Ribcor Trigger ASY,CCM - Quicklite,CCM,CCM - Vector V08,CCM - JetSpeed
Calgary,AB,CAN,CAN,R,MIKE.GREEN,Mike Green,Green,Mike,D,DET,"Lower body, Neck",,UFA,Bauer - Supreme 1S,CCM - HG12,CCM,Bauer - 4500,Bauer - Nexus 1N
Edmonton,AB,CAN,CAN,L,JAKE.DEBRUSK,Jake Debrusk,DeBrusk,Jake,LW,BOS,Upper body,,RFA,Bauer - Vapor 1X Lite,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Huntsville,AL,USA,USA,R,NIC.DOWD,Nic Dowd,Dowd,Nic,C,"LAK, VAN",,,UFA,CCM - Ribcor Trigger ASY,CCM - HG12,CCM,CCM - Vector V08,Bauer - Vapor 1X 2.0
Milwaukee,WI,USA,USA,R,HUDSON.FASCHING,Hudson Fasching,Fasching,Hudson,RW,BUF,,,RFA,,,,,
Richmond,BC,CAN,CAN,R,TROY.STECHER,Troy Stecher,Stecher,Troy,D,VAN,Leg,,RFA,Bauer - Nexus 1N,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Edmonton,AB,CAN,CAN,L,TYRELL.GOULBOURNE,Tyrell Goulbourne,Goulbourne,Tyrell,LW,PHI,,,RFA,,,,,
Chicago,IL,USA,USA,R,JOHN.HAYDEN,John Hayden,Hayden,John,RW,CHI,Upper body,,RFA,,,,,
Cherepovets,,RUS,RUS,L,PAVEL.BUCHNEVICH,Pavel Buchnevich,Buchnevich,Pavel,RW,NYR,Concussion,,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Meadow Lake,SK,CAN,CAN,R,BLAKE.COMEAU,Blake Comeau,Comeau,Blake,LW,COL,Upper body,,UFA,Warrior - Alpha QX,Warrior - Alpha QX,Warrior,CCM - Vector V08,Bauer - Supreme 1S
Stockholm,,SWE,SWE,L,MATTIAS.JANMARK,Mattias Janmark,Janmark,Mattias,C,DAL,Illness,,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
Pointe-Claire,QC,CAN,CAN,L,ANTHONY.DUCLAIR,Anthony Duclair,Duclair,Anthony,LW,"ARI, CHI",Lower body,,RFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - Re-Akt,Bauer - Vapor 1X 2.0
